2016-09-12 19:42:15,542 Epoch[0] Batch [50]	Speed: 1388.89 samples/sec	Train-Accuracy=0.135000
2016-09-12 19:42:15,851 Epoch[0] Batch [100]	Speed: 1294.50 samples/sec	Train-Accuracy=0.090000
2016-09-12 19:42:16,138 Epoch[0] Batch [150]	Speed: 1393.73 samples/sec	Train-Accuracy=0.130000
2016-09-12 19:42:16,437 Epoch[0] Batch [200]	Speed: 1342.28 samples/sec	Train-Accuracy=0.100000
2016-09-12 19:42:16,723 Epoch[0] Batch [250]	Speed: 1398.60 samples/sec	Train-Accuracy=0.067500
2016-09-12 19:42:17,016 Epoch[0] Batch [300]	Speed: 1360.54 samples/sec	Train-Accuracy=0.092500
2016-09-12 19:42:17,315 Epoch[0] Batch [350]	Speed: 1342.28 samples/sec	Train-Accuracy=0.125000
2016-09-12 19:42:17,611 Epoch[0] Batch [400]	Speed: 1346.80 samples/sec	Train-Accuracy=0.087500
2016-09-12 19:42:17,914 Epoch[0] Batch [450]	Speed: 1320.13 samples/sec	Train-Accuracy=0.117500
2016-09-12 19:42:18,203 Epoch[0] Batch [500]	Speed: 1384.08 samples/sec	Train-Accuracy=0.222500
2016-09-12 19:42:18,489 Epoch[0] Batch [550]	Speed: 1403.51 samples/sec	Train-Accuracy=0.282500
2016-09-12 19:42:18,779 Epoch[0] Batch [600]	Speed: 1379.31 samples/sec	Train-Accuracy=0.285000
2016-09-12 19:42:19,075 Epoch[0] Batch [650]	Speed: 1355.93 samples/sec	Train-Accuracy=0.402500
2016-09-12 19:42:19,368 Epoch[0] Batch [700]	Speed: 1365.19 samples/sec	Train-Accuracy=0.372500
2016-09-12 19:42:19,668 Epoch[0] Batch [750]	Speed: 1328.90 samples/sec	Train-Accuracy=0.425000
2016-09-12 19:42:19,971 Epoch[0] Batch [800]	Speed: 1320.13 samples/sec	Train-Accuracy=0.385000
2016-09-12 19:42:20,262 Epoch[0] Batch [850]	Speed: 1379.31 samples/sec	Train-Accuracy=0.330000
2016-09-12 19:42:20,546 Epoch[0] Batch [900]	Speed: 1403.51 samples/sec	Train-Accuracy=0.310000
2016-09-12 19:42:20,845 Epoch[0] Batch [950]	Speed: 1337.79 samples/sec	Train-Accuracy=0.335000
2016-09-12 19:42:21,141 Epoch[0] Batch [1000]	Speed: 1355.93 samples/sec	Train-Accuracy=0.302500
2016-09-12 19:42:21,424 Epoch[0] Batch [1050]	Speed: 1413.43 samples/sec	Train-Accuracy=0.307500
2016-09-12 19:42:21,719 Epoch[0] Batch [1100]	Speed: 1355.93 samples/sec	Train-Accuracy=0.272500
2016-09-12 19:42:22,017 Epoch[0] Batch [1150]	Speed: 1337.79 samples/sec	Train-Accuracy=0.255000
2016-09-12 19:42:22,309 Epoch[0] Batch [1200]	Speed: 1374.57 samples/sec	Train-Accuracy=0.277500
2016-09-12 19:42:22,602 Epoch[0] Batch [1250]	Speed: 1365.19 samples/sec	Train-Accuracy=0.267500
2016-09-12 19:42:22,892 Epoch[0] Batch [1300]	Speed: 1384.08 samples/sec	Train-Accuracy=0.320000
2016-09-12 19:42:23,193 Epoch[0] Batch [1350]	Speed: 1333.33 samples/sec	Train-Accuracy=0.282500
2016-09-12 19:42:23,486 Epoch[0] Batch [1400]	Speed: 1360.54 samples/sec	Train-Accuracy=0.290000
2016-09-12 19:42:23,783 Epoch[0] Batch [1450]	Speed: 1346.80 samples/sec	Train-Accuracy=0.247500
2016-09-12 19:42:24,078 Epoch[0] Batch [1500]	Speed: 1360.54 samples/sec	Train-Accuracy=0.267500
2016-09-12 19:42:24,381 Epoch[0] Batch [1550]	Speed: 1320.13 samples/sec	Train-Accuracy=0.255000
2016-09-12 19:42:24,680 Epoch[0] Batch [1600]	Speed: 1333.33 samples/sec	Train-Accuracy=0.290000
2016-09-12 19:42:24,983 Epoch[0] Batch [1650]	Speed: 1320.13 samples/sec	Train-Accuracy=0.300000
2016-09-12 19:42:25,276 Epoch[0] Batch [1700]	Speed: 1365.19 samples/sec	Train-Accuracy=0.307500
2016-09-12 19:42:25,581 Epoch[0] Batch [1750]	Speed: 1320.13 samples/sec	Train-Accuracy=0.325000
2016-09-12 19:42:25,888 Epoch[0] Batch [1800]	Speed: 1298.70 samples/sec	Train-Accuracy=0.390000
2016-09-12 19:42:26,174 Epoch[0] Batch [1850]	Speed: 1398.60 samples/sec	Train-Accuracy=0.417500
2016-09-12 19:42:26,460 Epoch[0] Batch [1900]	Speed: 1403.51 samples/sec	Train-Accuracy=0.380000
2016-09-12 19:42:26,752 Epoch[0] Batch [1950]	Speed: 1369.86 samples/sec	Train-Accuracy=0.417500
2016-09-12 19:42:27,059 Epoch[0] Batch [2000]	Speed: 1302.93 samples/sec	Train-Accuracy=0.455000
2016-09-12 19:42:27,355 Epoch[0] Batch [2050]	Speed: 1346.80 samples/sec	Train-Accuracy=0.462500
2016-09-12 19:42:27,650 Epoch[0] Batch [2100]	Speed: 1360.54 samples/sec	Train-Accuracy=0.465000
2016-09-12 19:42:27,948 Epoch[0] Batch [2150]	Speed: 1337.79 samples/sec	Train-Accuracy=0.432500
2016-09-12 19:42:28,246 Epoch[0] Batch [2200]	Speed: 1346.80 samples/sec	Train-Accuracy=0.432500
2016-09-12 19:42:28,553 Epoch[0] Batch [2250]	Speed: 1298.70 samples/sec	Train-Accuracy=0.442500
2016-09-12 19:42:28,950 Epoch[0] Batch [2300]	Speed: 1007.56 samples/sec	Train-Accuracy=0.457500
2016-09-12 19:42:29,334 Epoch[0] Batch [2350]	Speed: 1044.39 samples/sec	Train-Accuracy=0.475000
2016-09-12 19:42:29,648 Epoch[0] Batch [2400]	Speed: 1273.89 samples/sec	Train-Accuracy=0.502500
2016-09-12 19:42:29,953 Epoch[0] Batch [2450]	Speed: 1311.48 samples/sec	Train-Accuracy=0.487500
2016-09-12 19:42:30,250 Epoch[0] Batch [2500]	Speed: 1342.28 samples/sec	Train-Accuracy=0.452500
2016-09-12 19:42:30,548 Epoch[0] Batch [2550]	Speed: 1346.80 samples/sec	Train-Accuracy=0.390000
2016-09-12 19:42:30,855 Epoch[0] Batch [2600]	Speed: 1298.70 samples/sec	Train-Accuracy=0.430000
2016-09-12 19:42:31,157 Epoch[0] Batch [2650]	Speed: 1324.50 samples/sec	Train-Accuracy=0.525000
2016-09-12 19:42:31,463 Epoch[0] Batch [2700]	Speed: 1311.48 samples/sec	Train-Accuracy=0.492500
2016-09-12 19:42:31,766 Epoch[0] Batch [2750]	Speed: 1320.13 samples/sec	Train-Accuracy=0.432500
2016-09-12 19:42:32,071 Epoch[0] Batch [2800]	Speed: 1311.48 samples/sec	Train-Accuracy=0.480000
2016-09-12 19:42:32,381 Epoch[0] Batch [2850]	Speed: 1286.17 samples/sec	Train-Accuracy=0.485000
2016-09-12 19:42:32,687 Epoch[0] Batch [2900]	Speed: 1307.19 samples/sec	Train-Accuracy=0.497500
2016-09-12 19:42:33,058 Epoch[0] Batch [2950]	Speed: 1081.08 samples/sec	Train-Accuracy=0.495000
2016-09-12 19:42:33,411 Epoch[0] Batch [3000]	Speed: 1136.36 samples/sec	Train-Accuracy=0.480000
